BRAND,8월 12일,8월 13일,8월 14일,8월 15일,8월 16일
Korean 1,우거지순대국,닭곰탕,쇠고기된장찌개,광복절,돈육김치찌개
Korean 2,파채돼지불고기,고등어카레구이,닭살굴소스볶음,광복절,바베큐떡산적구이
탕맛기픈,들깨순두부버섯탕,들깨순두부버섯탕,들깨순두부버섯탕,광복절,들깨순두부버섯탕
탕맛기픈,쇠고기영양탕,쇠고기영양탕,쇠고기영양탕,광복절,쇠고기영양탕
가츠엔,구로쇼유베이컨라멘,구로쇼유베이컨라멘,구로쇼유베이컨라멘,광복절,구로쇼유베이컨라멘
가츠엔,로제돈가스,로제돈가스,로제돈가스,광복절,로제돈가스
Western,유린기소스치킨커틀렛,유린기소스치킨커틀렛,유린기소스치킨커틀렛,광복절,유린기소스치킨커틀렛
Western,철판닭갈비볶음밥,소시지크림오므라이스,알떡스테이크,광복절,오꼬노미필라프
Snap snack,델라면/치즈델라면/떡델라면/짬뽕델라면/짜장라면(A/B),델라면/치즈델라면/떡델라면/짬뽕델라면/짜장라면(A/B),델라면/치즈델라면/떡델라면/짬뽕델라면/짜장라면(A/B),광복절,델라면/치즈델라면/떡델라면/짬뽕델라면/짜장라면(A/B)
Snap snack,스팸말이/새우튀김말이/고추멸치말이/오늘의주먹밥,스팸말이/새우튀김말이/고추멸치말이/오늘의주먹밥,스팸말이/새우튀김말이/고추멸치말이/오늘의주먹밥,광복절,스팸말이/새우튀김말이/고추멸치말이/오늘의주먹밥
Snap snack,매콤떡볶이/치즈떡볶이/뚝배기국물떡볶이,매콤떡볶이/치즈떡볶이/뚝배기국물떡볶이,매콤떡볶이/치즈떡볶이/뚝배기국물떡볶이,광복절,매콤떡볶이/치즈떡볶이/뚝배기국물떡볶이
Snap snack,콤보A(떡볶이1/2+순대1/2) / 콤보B(떡볶이1/2+튀김1/2) / 콤보C(델라면+스팸말이1/2),콤보A(떡볶이1/2+순대1/2) / 콤보B(떡볶이1/2+튀김1/2) / 콤보C(델라면+스팸말이1/2),콤보A(떡볶이1/2+순대1/2) / 콤보B(떡볶이1/2+튀김1/2) / 콤보C(델라면+스팸말이1/2),광복절,콤보A(떡볶이1/2+순대1/2) / 콤보B(떡볶이1/2+튀김1/2) / 콤보C(델라면+스팸말이1/2)
Snap snack,비빔만두,비빔만두,비빔만두,광복절,비빔만두
Snap snack,모듬튀김/순대,모듬튀김/순대,모듬튀김/순대,광복절,모듬튀김/순대
Take-out,참치채소죽,쇠고기채소죽,새우채소죽,광복절,낙지김치죽
Take-out,유부초밥/콤보세트(유부초밥&샌드위치/유부초밥&샐러드/샌드위치&샐러드)/쌈밥,유부초밥/콤보세트(유부초밥&샌드위치/유부초밥&샐러드/샌드위치&샐러드)/쌈밥,유부초밥/콤보세트(유부초밥&샌드위치/유부초밥&샐러드/샌드위치&샐러드)/쌈밥,광복절,유부초밥/콤보세트(유부초밥&샌드위치/유부초밥&샐러드/샌드위치&샐러드)/쌈밥
Take-out,제육컵밥,스팸컵밥,닭갈비컵밥,광복절,참치마요컵밥
Take-out,불낙비빔밥,가라아게동,쭈삼비빔밥,광복절,제육비빔밥
Take-out,에그&브로콜리감자샌드위치,블루베리포테이토샌드위치,베이컨에그샌드위치,광복절,튜나클럽샌드위치
Take-out,똑똑해,가벼워,가뿐해,광복절,상콤해
Take-out,트윈애플,애플비트,망고애플,광복절,레드캐비지파인
Take-out,딸기/말차콜라겐,뽕잎/블랙,사과/클래식,광복절,바나나/귀리
Take-out,3종 선택 과일,3종 선택 과일,3종 선택 과일,광복절,3종 선택 과일
Take-out,7종샐러드팩/단호박견과류꿀단지,7종샐러드팩/단호박견과류꿀단지,7종샐러드팩/단호박견과류꿀단지,광복절,7종샐러드팩/단호박견과류꿀단지
Take-out,돈육두반장볶음도시락,파채간장닭불고기도시락,삼치데리야끼도시락,광복절,닭강정도시락
Take-out,부대볶음밥도시락,불고기볶음밥도시락,갈릭볶음밥도시락,광복절,하와이안로코모코도시락
Take-out,아스파라거스두부도시락,새우살견과류도시락,건과일도시락,광복절,모둠콩도시락
고슬고슬비빈,취나물버섯밥,취나물버섯밥,취나물버섯밥,광복절,취나물버섯밥
고슬고슬비빈,전주식돌솥비빔밥,전주식돌솥비빔밥,전주식돌솥비빔밥,광복절,전주식돌솥비빔밥
Chef's Count,레인보우야채볼,토마토프리타타,레인보우야채볼,광복절,치킨텐더또띠아
Chef's Count,쇠고기버섯덮밥,치킨카레라이스,버섯닭개장,광복절,쇠고기순두부찌개
싱푸차이나,중국식볶음밥&자장소스,중국식볶음밥&자장소스,중국식볶음밥&자장소스,광복절,중국식볶음밥&자장소스
싱푸차이나,사천탕면,사천탕면,사천탕면,광복절,사천탕면
우리미각면,열무비빔국수,열무비빔국수,열무비빔국수,광복절,열무비빔국수
우리미각면,초계국수,초계국수,초계국수,광복절,초계국수
나폴리폴리,제육불고기그라탕,제육불고기그라탕,제육불고기그라탕,광복절,미운영
나폴리폴리,페퍼로니조각피자,페퍼로니조각피자,페퍼로니조각피자,광복절,미운영
아시안픽스,치킨크림커리,치킨크림커리,치킨크림커리,광복절,치킨크림커리
아시안픽스,해물쌀국수,해물쌀국수,해물쌀국수,광복절,해물쌀국수
